,0,1
79,1.73,1589667644.8808389
80,1.58,1589667665.962132
81,38.65,1589667736.201609
82,1.29,1589667750.2511659
83,1.18,1589667764.3010292
84,1.39,1589667778.3511229
85,2.11,1589667806.445729
86,14.24,1589667855.604029
87,2.06,1589667883.698817
88,3.4,1589667911.799799
89,1.0,1589667918.8249102
90,2.6,1589667946.9179509
91,1.0,1589667960.9655318
92,2.97,1589667989.0670998
93,4.29,1589668024.167022
94,1.73,1589668038.1989162
95,1.71,1589668059.2559009
96,8.74,1589668108.423191
97,2.02,1589668129.4881642
98,2.05,1589668150.574263
99,1.36,1589668164.62114
100,1.02,1589668178.676319
101,2.02,1589668199.755691
102,1.02,1589668206.7814379
103,2.45,1589668234.9129999
104,18.74,1589668291.1121972
105,1.08,1589668305.165375
106,1.54,1589668319.212684
107,9.59,1589668368.3848221
108,5.98,1589668410.5273962
109,1.24,1589668424.579971
110,7.08,1589668466.741003
111,1.43,1589668480.788992
112,3.2,1589668515.907826
113,12.48,1589668565.029938
114,1.36,1589668579.066719
115,2.79,1589668607.125994
116,1.71,1589668628.176849
117,1.08,1589668642.209304
118,5.34,1589668677.321717
119,2.72,1589668705.404298
120,2.35,1589668726.463009
121,3.62,1589668761.564335
122,9.43,1589668824.739708
123,1.08,1589668831.76108
124,4.49,1589668866.8614242
125,2.04,1589668894.974709
126,1.15,1589668901.992123
127,1.15,1589668909.0321002
128,1.15,1589668916.050161
129,1.15,1589668923.070133
130,1.15,1589668930.103282
131,1.15,1589668937.125976
132,1.15,1589668944.1507342
133,6.03,1589668958.1696799
134,1.0,1589668965.1920981
135,4.01,1589669000.29526
136,1.37,1589669014.332142
137,1.23,1589669028.372478
138,8.05,1589669077.508078
139,1.27,1589669091.544624
140,2.12,1589669112.602057
141,1.13,1589669126.6505358
142,1.48,1589669140.690208
143,1.38,1589669154.733472
144,1.83,1589669175.797298
145,2.14,1589669203.869536
146,1.23,1589669217.909405
147,2.51,1589669238.969951
148,1.8,1589669260.02871
149,1.43,1589669274.0684319
150,4.76,1589669316.196925
151,1.49,1589669330.236646
152,1.27,1589669344.2741902
153,1.57,1589669365.36268
154,16.33,1589669421.512341
155,1.18,1589669435.5542889
156,1.53,1589669449.59412
157,13.02,1589669505.766252
158,1.37,1589669519.807816
159,10.23,1589669568.937506
160,9.33,1589669618.070446
161,1.8,1589669632.1123688
162,1.33,1589669653.172833
163,1.13,1589669660.1926248
164,1.1,1589669674.23255
165,69.51,1589669758.468197
166,2.17,1589669779.52937
167,2.3,1589669800.583853
168,1.18,1589669814.635751
169,2.54,1589669842.71193
170,3.76,1589669870.779169
171,12.6,1589669926.928517
172,1.88,1589669947.989192
173,3.15,1589669976.066989
174,1.53,1589669997.125778
175,1.31,1589670011.162828
176,1.6,1589670025.1985312
177,1.0,1589670039.238419
178,1.9,1589670060.298694
179,2.24,1589670081.355259
180,2.51,1589670109.431978
181,2.02,1589670130.4844108
182,5.02,1589670165.582999
183,1.18,1589670179.712072
184,14.43,1589670235.8669498
185,1.24,1589670249.90083
186,2.25,1589670270.9643788
187,1.99,1589670292.019325
188,2.36,1589670320.1109881
189,2.42,1589670341.16254
190,1.57,1589670362.219742
191,4.73,1589670397.309914
192,2.68,1589670425.4129012
193,1.0,1589670432.4307919
194,1.33,1589670446.4632
195,1.25,1589670460.5015109
196,1.36,1589670481.555413
197,2.61,1589670502.606869
198,1.46,1589670523.66706
199,1.03,1589670530.691541
200,5.04,1589670565.827889
201,2.44,1589670593.995523
202,13.6,1589670650.199487
203,1.29,1589670664.256747
204,4.47,1589670699.3793018
205,1.0,1589670706.401381
206,2.24,1589670734.488768
207,2.45,1589670755.543987
208,1.23,1589670769.589202
209,24.74,1589670832.783354
210,1.0,1589670846.837526
211,2.29,1589670867.9086862
212,2.01,1589670888.9782588
213,1.23,1589670903.0229802
214,4.48,1589670938.1401641
215,4.1,1589670973.251628
216,1.26,1589670987.325261
217,5.51,1589671029.455432
218,50.05,1589671099.6832829
219,3.32,1589671134.7880971
220,1.61,1589671148.83251
221,1.0,1589671162.88076
222,2.93,1589671190.9812028
223,2.57,1589671212.060101
224,1.03,1589671226.1418781
